Keyword,Document Frequency,Posting List
1,2,"'doc1', 'doc8'"
100,1,'doc8'
2,3,"'doc1', 'doc4', 'doc8'"
200,1,'doc8'
2013,1,'doc1'
2015,1,'doc1'
5,1,'doc1'
6mo,1,'doc4'
7,2,"'doc4', 'doc6'"
720p,1,'doc4'
abl,7,"'doc2', 'doc3', 'doc4', 'doc6', 'doc7', 'doc9', 'doc10'"
about,2,"'doc2', 'doc6'"
acknowledg,1,'doc8'
actual,1,'doc3'
ad,8,"'doc2', 'doc3', 'doc4', 'doc5', 'doc6', 'doc8', 'doc9', 'doc10'"
addit,1,'doc6'
after,1,'doc6'
again,3,"'doc2', 'doc3', 'doc8'"
ago,1,'doc2'
air,2,"'doc3', 'doc8'"
all,7,"'doc2', 'doc3', 'doc4', 'doc6', 'doc7', 'doc8', 'doc9'"
allow,1,'doc7'
also,1,'doc3'
although,1,'doc8'
am,5,"'doc2', 'doc4', 'doc6', 'doc8', 'doc10'"
american,1,'doc8'
amount,1,'doc8'
an,9,"'doc1', 'doc2', 'doc3', 'doc4', 'doc6', 'doc7', 'doc8', 'doc9', 'doc10'"
android,2,"'doc2', 'doc6'"
anoth,1,'doc8'
appreci,1,'doc6'
are,4,"'doc1', 'doc6', 'doc8', 'doc9'"
armor,1,'doc2'
as,10,"'doc1', 'doc2', 'doc3', 'doc4', 'doc5', 'doc6', 'doc7', 'doc8', 'doc9', 'doc10'"
ask,1,'doc9'
asu,3,"'doc1', 'doc3', 'doc8'"
automat,1,'doc8'
avoid,1,'doc8'
aw,2,"'doc1', 'doc9'"
awesom,1,'doc1'
back,2,"'doc1', 'doc2'"
bad,1,'doc3'
be,4,"'doc2', 'doc3', 'doc4', 'doc8'"
becam,1,'doc8'
becaus,1,'doc8'
been,2,"'doc4', 'doc8'"
befor,1,'doc2'
big,2,"'doc2', 'doc4'"
birthday,1,'doc2'
book,2,"'doc2', 'doc4'"
bought,3,"'doc4', 'doc5', 'doc8'"
brick,1,'doc8'
brows,1,'doc4'
but,6,"'doc1', 'doc2', 'doc3', 'doc4', 'doc9', 'doc10'"
button,1,'doc2'
buy,1,'doc8'
by,2,"'doc8', 'doc9'"
camera,2,"'doc2', 'doc6'"
can,3,"'doc6', 'doc8', 'doc9'"
case,1,'doc2'
charg,1,'doc3'
child,1,'doc9'
claim,1,'doc8'
common,1,'doc8'
compar,2,"'doc1', 'doc6'"
complet,1,'doc8'
confid,1,'doc8'
control,1,'doc7'
conveni,1,'doc4'
convinc,1,'doc9'
cooler,1,'doc3'
cost,1,'doc8'
could,1,'doc10'
count,2,"'doc1', 'doc4'"
counter,1,'doc1'
cursor,1,'doc2'
custom,1,'doc8'
d,10,"'doc1', 'doc2', 'doc3', 'doc4', 'doc5', 'doc6', 'doc7', 'doc8', 'doc9', 'doc10'"
day,2,"'doc1', 'doc2'"
deal,1,'doc8'
dedic,1,'doc4'
defect,1,'doc8'
delet,1,'doc7'
deserv,1,'doc9'
devic,3,"'doc2', 'doc5', 'doc10'"
devicewear,1,'doc2'
dice,1,'doc8'
differ,1,'doc6'
disast,1,'doc9'
do,5,"'doc1', 'doc7', 'doc8', 'doc9', 'doc10'"
doe,2,"'doc1', 'doc10'"
drop,1,'doc5'
e,10,"'doc1', 'doc2', 'doc3', 'doc4', 'doc5', 'doc6', 'doc7', 'doc8', 'doc9', 'doc10'"
eas,4,"'doc4', 'doc6', 'doc7', 'doc8'"
ebay,1,'doc8'
ebook,1,'doc2'
edit,1,'doc4'
elect,1,'doc7'
emul,1,'doc4'
end,4,"'doc3', 'doc5', 'doc8', 'doc9'"
environ,1,'doc3'
estim,1,'doc8'
etc,1,'doc5'
even,2,"'doc1', 'doc8'"
everyth,1,'doc10'
expens,1,'doc8'
experienc,1,'doc8'
express,1,'doc8'
fail,1,'doc8'
fall,1,'doc9'
fast,2,"'doc2', 'doc6'"
feel,1,'doc6'
few,2,"'doc3', 'doc4'"
final,1,'doc4'
fine,1,'doc2'
