"Index,Document Frequency",Posting List
"('thi', 9)","'doc1', [0, 91], 2], ['doc2', [17, 70, 135], 3], ['doc3', [85], 1], ['doc4', [91], 1], ['doc5', [4], 1], ['doc6', [82], 1], ['doc8', [9, 23, 181], 3], ['doc9', [4], 1], ['doc10', [0], 1"
"('one', 3)","'doc1', [1, 3, 69], 3], ['doc6', [83], 1], ['doc8', [43, 117, 182], 3"
"('wa', 4)","'doc1', [2], 1], ['doc2', [28, 142], 2], ['doc3', [38], 1], ['doc8', [10], 1"
"('most', 1)","'doc1', [6], 1"
"('power', 1)","'doc1', [7], 1"
"('system', 2)","'doc1', [8, 74], 2], ['doc2', [38], 1"
"('2013', 1)","'doc1', [10], 1"
"('still', 1)","'doc1', [12, 92], 2"
"('ha', 2)","'doc1', [13, 49], 2], ['doc5', [15], 1"
"('some', 2)","'doc1', [14], 1], ['doc8', [172], 1"
"('thing', 4)","'doc1', [15], 1], ['doc6', [55], 1], ['doc7', [7], 1], ['doc8', [234], 1"
"('like', 3)","'doc1', [16], 1], ['doc2', [66], 1], ['doc8', [151], 1"
"('slimport', 1)","'doc1', [17], 1"
"('that', 6)","'doc1', [18, 43], 2], ['doc2', [151], 1], ['doc3', [77], 1], ['doc6', [71], 1], ['doc8', [83], 1], ['doc9', [20, 25, 46, 83], 4"
"('do', 4)","'doc1', [19], 1], ['doc7', [9], 1], ['doc8', [236], 1], ['doc9', [0], 1"
"('plu', 1)","'doc1', [21], 1"
"('when', 3)","'doc1', [22, 64], 2], ['doc3', [60], 1], ['doc8', [95], 1"
"('compar', 2)","'doc1', [24, 66], 2], ['doc6', [80], 1"
"('to', 9)","'doc1', [25], 1], ['doc2', [34, 56, 102, 136], 4], ['doc3', [27, 30, 50], 3], ['doc4', [102], 1], ['doc6', [46, 76, 81], 3], ['doc7', [5, 12], 2], ['doc8', [35, 76, 84, 92, 106, 196, 235], 7], ['doc9', [17, 34, 52, 70, 76, 87], 6], ['doc10', [12, 25], 2"
"('more', 2)","'doc1', [26], 1], ['doc8', [39], 1"
"('modern', 1)","'doc1', [27], 1"
"('but', 6)","'doc1', [28], 1], ['doc2', [39, 112, 131], 3], ['doc3', [40, 59], 2], ['doc4', [87], 1], ['doc9', [79], 1], ['doc10', [21], 1"
"('lower', 1)","'doc1', [29], 1"
"('profil', 1)","'doc1', [30], 1"
"('option', 1)","'doc1', [31], 1"
"('from', 3)","'doc1', [32, 53, 79, 104], 4], ['doc4', [66], 1], ['doc6', [1], 1"
"('now', 4)","'doc2', [40], 1], ['doc4', [10, 23, 25], 3], ['doc8', [186], 1"
"('screen', 5)","'doc1', [36], 1], ['doc2', [95], 1], ['doc3', [16, 43, 66], 3], ['doc6', [16, 66], 2], ['doc8', [129], 1"
"('awesom', 1)","'doc1', [38], 1"
"('onli', 3)","'doc1', [40], 1], ['doc2', [21], 1], ['doc6', [54], 1"
"('back', 2)","'doc2', [49], 1"
"('ridicul', 1)","'doc1', [44], 1"
"('even', 2)","'doc1', [45, 94, 109], 3], ['doc8', [180], 1"
"('if', 4)","'doc1', [46, 110], 2], ['doc2', [113], 1], ['doc3', [91], 1"
"('know', 2)","'doc1', [48], 1], ['doc4', [71], 1"
"('asu', 3)","'doc1', [51, 80], 2], ['doc3', [31], 1], ['doc8', [31, 62, 159, 188, 205], 5"
"('nexu', 3)","'doc1', [52], 1], ['doc2', [4], 1], ['doc6', [3, 40], 2"
"('googl', 3)","'doc1', [54, 55], 2], ['doc7', [1, 22], 2], ['doc8', [46], 1"
"('doe', 2)","'doc1', [56], 1], ['doc10', [6], 1"
"('worst', 1)","'doc1', [58], 1"
"('use', 7)","'doc1', [59], 1], ['doc2', [22, 33], 2], ['doc4', [3, 30], 2], ['doc5', [16], 1], ['doc7', [13], 1], ['doc8', [102], 1], ['doc10', [15], 1"
"('their', 2)","'doc1', [61], 1], ['doc8', [174], 1"
"('own', 1)","'doc1', [62], 1"
"('we', 1)","'doc1', [65], 1"
"('with', 7)","'doc1', [67], 1], ['doc2', [16], 1], ['doc3', [13], 1], ['doc4', [53], 1], ['doc5', [5], 1], ['doc6', [90], 1], ['doc8', [158, 167, 200], 3"
"('or', 4)","'doc1', [72], 1], ['doc2', [74], 1], ['doc4', [81], 1], ['doc7', [14], 1"
"('soni', 1)","'doc1', [73], 1"
"('so', 3)","'doc2', [26], 1], ['doc9', [50, 89], 2"
"('hardwar', 2)","'doc1', [78], 1], ['doc9', [95], 1"
"('5', 1)","'doc1', [82], 1"
"('star', 2)","'doc1', [83, 107], 2], ['doc3', [90], 1"
"('flawless', 1)","'doc1', [84], 1"
"('topnotch', 1)","'doc1', [86], 1"
"('gear', 1)","'doc1', [87], 1"
"('great', 5)","'doc1', [89], 1], ['doc2', [143], 1], ['doc3', [2], 1], ['doc6', [18], 1], ['doc10', [3], 1"
"('price', 2)","'doc1', [90], 1], ['doc2', [141], 1"
"('rock', 1)","'doc1', [93], 1"
"('2015', 1)","'doc1', [96], 1"
"('next', 1)","'doc1', [98], 1"
"('year', 4)","'doc1', [99], 1], ['doc2', [14], 1], ['doc4', [9], 1], ['doc8', [21, 91], 2"
